id, citation
Title 0 Article 1 Citation 7,1. a person may be prosecuted for conspiracy in the county in which he entered into such conspiracy or in any county in which an overt act in furtherance thereof was committed. 2. an agreement made within this state to engage in or cause the performance of conduct in another jurisdiction is punishable herein as a conspiracy only when such conduct would constitute a crime both under the laws of this state if performed herein and under the laws of the other jurisdiction if performed therein. 3. an agreement made in another jurisdiction to engage in or cause the performance of conduct within this state which would constitute a crime herein is punishable herein only when an overt act in furtherance of such conspiracy is  committed  within  this  state.  under  such circumstances it is no defense to a prosecution for conspiracy that the conduct which is the objective of the conspiracy would not constitute a crime under the laws of the other jurisdiction if performed therein. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 0 Article 1 Citation 8,it is no defense to a prosecution for conspiracy that owing to criminal irresponsibility or other legal incapacity or exemption or to unawareness of the criminal nature of the agreement or the object conduct or of the defendant's criminal purpose or to other factors precluding the mental state required for the commission of conspiracy or the object crime one or more of the defendant's co-conspirators could not be guilty of conspiracy or the object crime. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 0 Article 1 Citation 9,for purposes of this article conspiracy to commit the crime of enterprise corruption in violation of section 460.20 of this chapter shall not constitute an offense. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 0 Article 2 Citation 0,a person is guilty of an attempt to commit a crime when with intent to commit a crime he engages in conduct which tends to effect the commission of such crime. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 0 Article 2 Citation 1,an attempt to commit a crime is a: 1. class a-i felony when the crime attempted is the a-i felony of murder in the first degree aggravated murder as defined in subdivision one of section 125.26 of this chapter criminal possession of a controlled substance in the first degree criminal sale of a controlled substance in the first degree criminal possession of a chemical or biological weapon in the first degree or criminal use of a chemical or biological weapon in the first degree; 2. class a-ii felony when the crime attempted is a class a-ii felony; 3. class b felony when the crime attempted is a class a-i felony except as provided in subdivision one hereof; 4. class c felony when the crime attempted is a class b felony; 5. class d felony when the crime attempted is a class c felony; 6. class e felony when the crime attempted is a class d felony; 7. class a misdemeanor when the crime attempted is a class e felony; 8. class b misdemeanor when the crime attempted is a misdemeanor; 9. class d felony when the crime attempted is bribery in the third degree as defined in section 200.00 of this chapter a class c felony when the crime attempted is bribery in the second degree as defined in section 200.03 of this chapter and a class b felony when the crime attempted is bribery in the first degree as defined in subdivision two of section 200.04 of this chapter. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 0 Article 2 Citation 2,if the conduct in which a person engages otherwise constitutes an attempt to commit a crime pursuant to section 110.00 it is no defense to a prosecution for such attempt that the crime charged to have been attempted was under the attendant circumstances factually or legally impossible of commission if such crime could have been committed had the attendant circumstances been as such person believed them to be. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 0 Article 3 Citation 0,a person is guilty of criminal facilitation in the fourth degree when believing it probable that he is rendering aid: 1. to a person who intends to commit a crime he engages in conduct which provides such person with means or opportunity for the commission thereof and which in fact aids such person to commit a felony; or 2. to a person under sixteen years of age who intends to engage in conduct which would constitute a crime he being over eighteen years of age engages in conduct which provides such person with means or opportunity for the commission thereof and which in fact aids such person to commit a crime. criminal facilitation in the fourth degree is a class a misdemeanor. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 0 Article 3 Citation 1,a person guilty of criminal facilitation in the third degree when believing it probable that he is rendering aid to a person under sixteen years of age who intends to engage in conduct that would constitute a felony he being over eighteen years of age engages in conduct which provides such person with means or opportunity for the commission thereof and which in fact aids such person to commit a felony. criminal facilitation in the third degree is a class e felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 0 Article 3 Citation 2,a person is guilty of criminal facilitation in the second degree when believing it probable that he is rendering aid to a person who intends to commit a class a felony he engages in conduct which provides such person with means or opportunity for the commission thereof and which in fact aids such person to commit such class a felony. criminal facilitation in the second degree is a class c felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 0 Article 3 Citation 3,a person is guilty of criminal facilitation in the first degree when believing it probable that he is rendering aid to a person under sixteen years of age who intends to engage in conduct that would constitute a class a felony he being over eighteen years of age engages in conduct which provides such person with means or opportunity for the commission thereof and which in fact aids such person to commit such a class a felony. criminal facilitation in the first degree is a class b felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 0 Article 3 Citation 4,it is no defense to a prosecution for criminal facilitation that: 1. the person facilitated was not guilty of the underlying felony owing to criminal irresponsibility or other legal incapacity  or exemption or to unawareness of the criminal nature of the conduct in question or to other factors precluding the mental state required for the commission of such felony; or 2. the person facilitated has not been prosecuted for or convicted of the underlying felony or has previously been acquitted thereof; or 3. the defendant himself is not guilty of the felony which he facilitated because he did not act with the intent or other culpable mental state required for the commission thereof. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 0 Article 3 Citation 5,a person shall not be convicted of criminal facilitation upon the testimony of a person who has committed the felony charged to have been facilitated unless such testimony be corroborated by such other evidence as tends to connect the defendant with such facilitation. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 0 Article 3 Citation 6,for purposes of this article such conduct shall include but not be limited to making available selling exchanging giving or disposing of a community gun which in fact aids a person to commit a crime. "community gun" shall mean a firearm that is actually shared made available sold exchanged given or disposed of among or between two or more persons at least one of whom is not authorized pursuant to law to possess such firearm. "dispose of" shall have the same meaning as that term is defined in section 265.00 of this chapter. "share" and "make available" shall in the case of a firearm be construed to include knowingly placing such firearm at a location accessible and known to one or more other persons. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 1 Article 0 Citation 0,a person is guilty of assault in the third degree when: 1. with intent to cause physical injury to another person he causes such injury to such person or to a third person; or 2. he recklessly causes physical injury to another person; or 3. with criminal negligence he causes physical injury to another person by means of a deadly weapon or a dangerous instrument. assault in the third degree is a class a misdemeanor. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 1 Article 0 Citation 1,a person is guilty of reckless assault of a child when being a child day care provider or an employee thereof he or she recklessly causes serious physical injury to a child under the care of such provider or employee who is less than eleven years of age. reckless assault of a child by a child day care provider is a class e felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 1 Article 0 Citation 2,1. a person is guilty of reckless assault of a child when being eighteen years of age or more such person recklessly causes serious physical injury to the brain of a child less than five years old by shaking the child or by slamming or throwing the child so as to impact the child's head on a hard surface or object. 2. for purposes of subdivision one of this section the following shall constitute "serious physical injury": a. "serious physical injury" as defined in subdivision ten of section 10.00 of this chapter; or b. extreme rotational cranial acceleration and deceleration and one or more of the following: (i) subdural hemorrhaging; (ii) intracranial hemorrhaging; or (iii) retinal hemorrhaging. reckless assault of a child is a class d felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 1 Article 0 Citation 3,a person is guilty of vehicular assault in the second degree when he or she causes serious physical injury to another person and either: (1) operates a motor vehicle in violation of subdivision two three four or four-a of section eleven hundred ninety-two of the vehicle and traffic law or operates a vessel or public vessel in violation of paragraph  (b)  (c) (d) or (e) of subdivision two of section forty-nine-a of the navigation law and as a result of such intoxication or impairment by the use of a drug or by the combined influence of drugs or of alcohol and any drug or drugs operates such motor vehicle vessel or public vessel in a manner that causes such serious physical injury to such other person or (2) operates a motor vehicle with a gross vehicle weight rating of more than eighteen thousand pounds which contains flammable gas radioactive materials or explosives in violation of subdivision one of section eleven hundred ninety-two of the vehicle and traffic law and such flammable gas radioactive materials or explosives is the cause of such serious physical injury and as a result of such impairment by the use of alcohol operates such motor vehicle in a manner that causes such serious physical injury to such other person or (3) operates a snowmobile in violation of paragraph (b) (c) or (d) of subdivision one of section 25.24 of the parks recreation and historic preservation law or operates an all terrain vehicle as defined in paragraph  (a)  of subdivision one of section twenty-two hundred eighty-one of the vehicle and traffic law and in violation  of subdivision two three four or four-a of section eleven hundred ninety-two of the vehicle and traffic law and as a result of such intoxication or impairment by the use of a drug or by the combined influence of drugs or of alcohol and any drug or drugs operates such snowmobile or all terrain vehicle in a manner that causes such serious physical injury to such other person. if it is established that the person operating such motor vehicle vessel public vessel snowmobile or all terrain vehicle caused such serious physical injury while unlawfully intoxicated or impaired by the use of alcohol or a drug then there shall be a rebuttable presumption that as a result of such intoxication or impairment by the use of alcohol or a drug or by the combined influence of drugs or of alcohol and any drug or drugs such person operated the motor vehicle vessel public vessel snowmobile or all terrain vehicle in a manner that caused such serious physical injury as required by this section. vehicular assault in the second degree is a class e felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 1 Article 0 Citation 4,a person is guilty of vehicular assault in the first degree when he or she commits the crime of vehicular assault in the second degree as defined in section 120.03 of this article and either: (1) commits such crime while operating a motor vehicle while such person has .18 of one per centum or more by weight of alcohol in such person's blood as shown by chemical analysis of such person's blood breath urine or saliva made pursuant to the provisions of section eleven hundred ninety-four of the vehicle and traffic law; (2) commits such crime while knowing or having reason to know that: (a) his or her license or his or her privilege of operating a motor vehicle in another state or his or her privilege of obtaining a license to operate a motor vehicle in another state is suspended or revoked and such suspension or revocation is based upon a conviction in such other state for an offense which would if committed in this state constitute a violation of any of the provisions of section eleven hundred ninety-two of the vehicle and traffic law; or (b) his or her license or his or her privilege of operating a motor vehicle in the state or his or her privilege of obtaining a license issued by the commissioner of motor vehicles is suspended or revoked and such suspension or revocation is based upon either a refusal to submit to a chemical test pursuant to section eleven hundred ninety-four of the vehicle and traffic law or following a conviction for a violation of any of the provisions of section eleven hundred ninety-two of the vehicle and traffic law; (3) has previously been convicted of violating any of the provisions of section eleven hundred ninety-two of the vehicle and traffic law within the preceding ten years provided that for the purposes of this subdivision a conviction in any other state or jurisdiction for an offense which if committed in this state would constitute a violation of section eleven hundred ninety-two of the vehicle and traffic law shall be treated as a violation of such law; (4) causes serious physical injury to more than one other person; (5) has previously been convicted of violating any provision of this article or article one hundred twenty-five of this title involving the operation of a motor vehicle or was convicted in any other state or jurisdiction of an offense involving the operation of a motor vehicle which if committed in this state would constitute a violation of this article or article one hundred twenty-five of this title; or (6) commits such crime while operating a motor vehicle while a child who is fifteen years of age or less is a passenger in such motor vehicle and causes serious physical injury to such child. if it is established that the person operating such motor vehicle caused such serious physical injury or injuries while unlawfully intoxicated or impaired by the use of alcohol or a drug or by the combined influence of drugs or of alcohol and any drug or drugs then there shall be a rebuttable presumption that as a result of such intoxication or impairment by the use of alcohol or a drug or by the combined influence of drugs or of alcohol and any drug or drugs such person operated the motor vehicle in a manner that caused such serious physical injury or injuries as required by this section and section 120.03 of this article. vehicular assault in the first degree is a class d felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 1 Article 0 Citation 5,a person is guilty of aggravated vehicular assault when he or she engages in reckless driving as defined by section twelve hundred twelve of the vehicle and traffic law and commits the crime of vehicular assault in the second degree as defined in section 120.03 of this article and either: (1) commits such crimes while operating a motor vehicle while such person has .18 of one per centum or more by weight of alcohol in such person's blood as shown by chemical analysis of such person's blood breath urine or saliva made pursuant to the provisions of section eleven hundred ninety-four of the vehicle and traffic law; (2) commits such crimes while knowing or having reason to know that: (a) his or her license or his or her privilege of operating a motor vehicle in another state or his or her privilege of obtaining a license to operate a motor vehicle in another state is suspended or revoked and such suspension or revocation is based upon a conviction in such other state for an offense which would if committed in this state constitute a violation of any of the provisions of section eleven hundred ninety-two of the vehicle and traffic law; or (b) his or her license or his or her privilege of operating a motor vehicle in this state or his or her privilege of obtaining a license issued by the commissioner of motor vehicles is suspended or revoked and such suspension or revocation is based upon either a refusal to submit to a chemical test pursuant to section eleven hundred ninety-four of the vehicle and traffic law or following a conviction for a violation of any of the provisions of section eleven hundred ninety-two of the vehicle and traffic law; (3) has previously been convicted of violating any of the provisions of section eleven hundred ninety-two of the vehicle and traffic law within the preceding ten years provided that for the purposes of this subdivision a conviction in any other state or jurisdiction for an offense which if committed in this state would constitute a violation of section eleven hundred ninety-two of the vehicle and traffic law shall be treated as a violation of such law; (4) causes serious physical injury to more than one other person; (5) has previously been convicted of violating any provision of this article or article one hundred twenty-five of this title involving the operation of a motor vehicle or was convicted in any other state or jurisdiction of an offense involving the operation of a motor vehicle which if committed in this state would constitute a violation of this article or article one hundred twenty-five of this title; or (6) commits such crime while operating a motor vehicle while a child who is fifteen years of age or less is a passenger in such motor vehicle and causes serious physical injury to such child. if it is established that the person operating such motor vehicle caused such serious physical injury or injuries while unlawfully intoxicated or impaired by the use of alcohol or a drug or by the combined influence of drugs or of alcohol and any drug or drugs then there shall be a rebuttable presumption that as a result of such intoxication or impairment by the use of alcohol or a drug or by the combined influence of drugs or of alcohol and any drug or drugs such person operated the motor vehicle in a manner that caused such serious physical injury or injuries as required by this section and section 120.03 of this article. aggravated vehicular assault is a class c felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 1 Article 0 Citation 6,a person is guilty of assault in the second degree when: 1. with intent to cause serious physical injury to another person he causes such injury to such person or to a third person; or 2. with intent to cause physical injury to another person he causes such injury to such person or to a third person by means of a deadly weapon or a dangerous instrument; or 3. with intent to prevent a peace officer a police officer prosecutor as defined in subdivision thirty-one of section 1.20 of the criminal procedure law registered nurse licensed practical nurse public health sanitarian new york city public health sanitarian sanitation enforcement agent new york city sanitation worker a firefighter including a firefighter acting as a paramedic or emergency medical technician administering first aid in the course of performance of duty as such firefighter an emergency medical service paramedic or emergency medical service technician or medical or related personnel in a hospital emergency department a city marshal a school crossing guard appointed pursuant to section two hundred eight-a of the general municipal law a traffic enforcement officer traffic enforcement agent or employee of any entity governed by the public service law in the course of performing an essential service from performing a lawful duty by means including releasing or failing to control an animal under circumstances evincing the actor's intent that the animal obstruct the lawful activity of such peace officer police officer prosecutor as defined in subdivision thirty-one of section 1.20 of the criminal procedure law registered nurse licensed practical nurse public health sanitarian  new  york  city public health sanitarian sanitation enforcement agent new york city sanitation worker  firefighter paramedic technician city marshal school crossing guard appointed pursuant to section two hundred eight-a of the general municipal law traffic enforcement officer traffic enforcement agent or employee of an entity governed by the public service law he or she causes physical injury to such peace officer police officer prosecutor as defined in subdivision thirty-one of section 1.20 of the criminal procedure law registered nurse licensed practical nurse public health sanitarian new york city public health sanitarian sanitation enforcement agent new york city sanitation worker firefighter paramedic technician or medical or related personnel in a hospital emergency department city marshal school crossing guard traffic enforcement officer traffic enforcement agent or employee of an entity governed by the public service law; or 3-a. with intent to prevent an employee of a local social services district directly involved in investigation of or response to alleged abuse or neglect of a child a vulnerable elderly person or an incompetent  or  physically disabled person from performing such investigation or response the actor not being such child vulnerable elderly person or incompetent or physically disabled person or with intent to prevent an employee of a local social services district directly  involved  in providing public assistance and care from performing his or her job causes physical injury to such employee including by means of releasing or failing to control an animal under circumstances evincing the actor's intent that the animal obstruct the lawful activities of such employee; or 3-b. with intent to prevent an employee of the new york city housing authority from performing his or her lawful duties while located on housing project grounds real property or a building owned managed or operated by such authority he or she causes physical injury to such employee; or 3-c. with intent to prevent an employee providing direct patient care who is not a nurse pursuant to title eight of the education law whose principal employment responsibility is to carry out direct patient care for one or more patients in any hospital nursing home residential health care facility general hospital government agency including any chronic disease hospital maternity hospital outpatient department emergency center or surgical center under article twenty-eight of the public health law from performing a lawful duty he or she causes physical injury to such employee providing direct patient care; or 4. he recklessly causes serious physical injury to another person by means of a deadly weapon or a dangerous instrument; or 4-a. he recklessly causes physical injury to another person who is a child under the age of eighteen by intentional discharge of a firearm rifle or shotgun; or 5. for a purpose other than lawful medical or therapeutic treatment he intentionally causes stupor unconsciousness or other physical impairment or injury to another person by administering to him without his consent a drug substance or preparation capable of producing the same; or 6. in the course of and in furtherance of the commission or attempted commission of a felony other than a felony defined in article one hundred thirty which requires corroboration for conviction or of immediate flight therefrom he or another participant if there be any causes physical injury to a person other than one of the participants; or 7. having been charged with or convicted of a crime and while confined in a correctional facility as defined in subdivision three of section forty of the correction law pursuant to such charge or conviction with intent to cause physical injury to another person he causes such injury to such person or to a third person; or 8. being eighteen years old or more and with intent to cause physical injury to a person less than eleven years old the defendant recklessly causes serious physical injury to such person; or 9. being eighteen years old or more and with intent to cause physical injury to a person less than seven years old the defendant causes such injury to such person; or 10. acting at a place the person knows or reasonably should know is on school grounds and with intent to cause physical injury he or she: (a) causes such injury to an employee of a school or public school district; or (b) not being a student of such school or public school district causes physical injury to another and such other person is a student of such school who is attending or present for educational purposes. for purposes of this subdivision the term "school grounds" shall have the meaning set forth in subdivision fourteen of section 220.00 of this chapter; or 11. with intent to cause physical injury to a train operator ticket inspector conductor signalperson bus operator station agent station cleaner or terminal cleaner employed by any transit agency authority or company public or private whose operation is authorized by new york state or any of its political subdivisions a city marshal a school crossing guard appointed pursuant to section two hundred eight-a of the general municipal law a  traffic  enforcement  officer  traffic enforcement agent prosecutor as defined in subdivision thirty-one of section 1.20 of the criminal procedure law sanitation enforcement agent new york city sanitation worker public health sanitarian new york city public health sanitarian registered nurse licensed practical nurse emergency medical service paramedic or emergency medical service technician he or she causes physical injury to such train operator ticket inspector conductor signalperson bus operator station agent station cleaner or terminal cleaner city marshal school crossing guard appointed pursuant to section two hundred eight-a of the general municipal law traffic enforcement officer traffic enforcement agent prosecutor as defined in subdivision thirty-one of section 1.20 of the criminal procedure law registered nurse licensed practical nurse public health sanitarian new york city public health sanitarian sanitation enforcement agent new york city sanitation worker emergency medical service paramedic or emergency medical service technician while such employee is performing an assigned duty on or directly related to the operation of a train or bus including the cleaning of a train or bus station or terminal or such city marshal school crossing guard  traffic  enforcement  officer  traffic enforcement agent prosecutor as defined in subdivision thirty-one of section 1.20 of the criminal procedure law registered nurse licensed practical nurse public health sanitarian new york city public health sanitarian sanitation enforcement agent new york city sanitation worker emergency medical service paramedic or emergency medical service technician is performing an assigned duty; or 11-a. with intent to cause physical injury to an employee of a local social services district directly involved in investigation of or response to alleged abuse or neglect of a child vulnerable elderly person or an incompetent or physically disabled person the actor not being such child vulnerable elderly person or incompetent or physically disabled person or with intent to prevent an employee of a local social services district directly involved in providing public assistance and care from performing his or her job causes physical injury to such employee; or 11-b. with intent to cause physical injury to an employee of the new york city housing authority performing his or her lawful duties while located on housing project grounds real property or a building owned managed or operated by such authority he or she causes physical injury to such employee; or 11-c. with intent to cause physical injury to an employee providing direct patient care who is not a nurse pursuant to title eight of the education law whose principal employment responsibility is to carry out direct patient care for one or more patients in any hospital nursing home residential health care facility general hospital government agency including any chronic disease hospital maternity hospital outpatient department emergency center or surgical center under article twenty-eight of the public health law he or she causes physical injury to such employee providing direct patient care while such employee is performing a lawful duty; or 12. with intent to cause physical injury to a person who is sixty-five years of age or older he or she causes such injury to such person and the actor is more than ten years younger than such person; or 13. being confined to a secure treatment facility as such term is defined in subdivision (o) of section 10.03 of the mental hygiene law and with intent to cause physical injury to an employee of such secure treatment facility performing his or her duties he or she causes such injury to such person; or 14. with intent to prevent or obstruct a process server as defined in section eighty-nine-t of the general business law from performing a lawful duty pursuant to article three of the civil practice law and rules or intentionally as retaliation against such a process server for the performance of the process server's duties pursuant to such article including by means of releasing or failing to control an animal evincing the actor's intent that the animal prevent or obstruct the lawful duty of the process server or as retaliation against the process server he or she causes physical injury to such process server. assault in the second degree is a class d felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 1 Article 0 Citation 7,a person is guilty of gang assault in the second degree when with intent to cause physical injury to another person and when aided by two or more other persons actually present he causes serious physical injury to such person or to a third person. gang assault in the second degree is a class c felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 1 Article 0 Citation 8,a person is guilty of gang assault in the first degree when with intent to cause serious physical injury to another person and when aided by two or more other persons actually present he causes serious physical injury to such person or to a third person. gang assault in the first degree is a class b felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 1 Article 0 Citation 9,     emergency medical services professional. a person is guilty of assault on a peace officer police officer firefighter or emergency medical services professional when with intent to prevent a peace officer police officer a firefighter including a firefighter acting as a paramedic or emergency medical technician administering first aid in the course of performance of duty as such firefighter or an emergency medical service paramedic or emergency medical service technician from performing a lawful duty he or she causes serious physical injury to such peace officer police officer firefighter paramedic or technician. assault on a peace officer police officer firefighter or emergency medical services professional is a class c felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 1 Article 0 Citation 10,a person is guilty of assault on a judge when with intent to cause serious physical injury and prevent a judge from performing official judicial duties he or she causes serious physical injury to such judge. for the purposes of this section the term judge shall mean a judge of a court of record or a justice court. assault on a judge is a class c felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 1 Article 0 Citation 11,a person is guilty of assault in the first degree when: 1. with intent to cause serious physical injury to another person he causes such injury to such person or to a third person by means of a deadly weapon or a dangerous instrument; or 2. with intent to disfigure another person seriously and permanently or to destroy amputate or disable permanently a member or organ of his body he causes such injury to such person or to a third person; or 3. under circumstances evincing a depraved indifference to human life he recklessly engages in conduct which creates a grave risk of death to another person and thereby causes serious physical injury to another person; or 4. in the course of and in furtherance of the commission or attempted commission of a felony or of immediate flight therefrom he or another participant if there be any causes serious physical injury to a person other than one of the participants. assault in the first degree is a class b felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
